Customer Group,Product.Family,Rebates,Net.WAC.Percent
Gaylene,Hyperion,0,1
Gaylene,Iapetus,0,1
Gaylene,Coeus,0,1
Gaylene,Hyperion,0,1
Gaylene,Coeus,0,1
Gaylene,Coeus,0,1
Gaylene,Crius,0,1
Gaylene,Cronus,0,1
Gaylene,Cronus,0,1
Gaylene,Mnemosyne,0,1
Gaylene,Oceanus,0,1
Gaylene,Iapetus,0,1
Gaylene,Phoebe,0,1
Gaylene,Hyperion,0,1
Gaylene,Hyperion,0,1
Gaylene,Rhea,0,1
Gaylene,Hyperion,0,1
Gaylene,Hyperion,0,1
Gaylene,Tethys,0,1
Gaylene,Tethys,0,1
Gaylene,Theia,0,1
Gaylene,Themis,0,1
Gaylene,Oceanus,0,1
Gaylene,Hyperion,0,1
Gaylene,Hyperion,0,1
Gaylene,Themis,0,1
Gaylene,Iapetus,0,1
Gaylene,Rhea,0,1
Gaylene,Asteria,0,1
Gaylene,Astraeus,0,1
Gaylene,Astraeus,0,1
Gaylene,Asteria,0,1
Gaylene,Atlas,0,1
Gaylene,Aura,0,1
Gaylene,Astraeus,0,1
Gaylene,Astraeus,0,1
Gaylene,Dione,0,1
Gaylene,Dione,0,1
Gaylene,Dione,0,1
Gaylene,Eos,0,1
Gaylene,Epimetheus,0,1
Gaylene,Eurybia,0,1
Gaylene,Eurybia,0,1
Gaylene,Eurynome,0,1
Gaylene,Eurynome,0,1
Gaylene,Eurynome,0,1
Sheridan,Cronus,0,1
Sheridan,Tethys,0,1
Sheridan,Theia,0,1
Sheridan,Aura,0,1
Sheridan,Eurynome,0,1
Sheridan,Hyperion,0,1
Sheridan,Tethys,0,1
Sheridan,Aura,0,1
Kathline,Hyperion,0,1
Kathline,Iapetus,0,1
Kathline,Coeus,0,1
Kathline,Hyperion,0,1
Kathline,Coeus,0,1
Kathline,Crius,0,1
Kathline,Cronus,0,1
Kathline,Cronus,0,1
Kathline,Mnemosyne,0,1
Kathline,Oceanus,0,1
Kathline,Iapetus,0,1
Kathline,Phoebe,0,1
Kathline,Hyperion,0,1
Kathline,Rhea,0,1
Kathline,Hyperion,0,1
Kathline,Hyperion,0,1
Kathline,Tethys,0,1
Kathline,Tethys,0,1
Kathline,Theia,0,1
Kathline,Themis,0,1
Kathline,Hyperion,0,1
Kathline,Themis,0,1
Kathline,Iapetus,0,1
Kathline,Rhea,0,1
Kathline,Tethys,0,1
Kathline,Asteria,0,1
Kathline,Astraeus,0,1
Kathline,Astraeus,0,1
Kathline,Asteria,0,1
Kathline,Atlas,0,1
Kathline,Astraeus,0,1
Kathline,Astraeus,0,1
Kathline,Dione,0,1
Kathline,Dione,0,1
Kathline,Dione,0,1
Kathline,Eos,0,1
Kathline,Epimetheus,0,1
Kathline,Epimetheus,0,1
Kathline,Eurybia,0,1
Kathline,Eurybia,0,1
Kathline,Eurynome,0,1
Kathline,Eurynome,0,1
Sheridan,Hyperion,0,1
Sheridan,Iapetus,0,1
Sheridan,Coeus,0,1
Sheridan,Hyperion,0,1
Sheridan,Coeus,0,1
Sheridan,Crius,0,1
Sheridan,Iapetus,0,1
Sheridan,Hyperion,0,1
Sheridan,Rhea,0,1
Sheridan,Hyperion,0,1
Sheridan,Hyperion,0,1
Sheridan,Rhea,0,1
Sheridan,Astraeus,0,1
Sheridan,Aura,0,1
Sheridan,Astraeus,0,1
Gerda,Oceanus,0,1
Gerda,Hyperion,0,1
Gerda,Tethys,0,1
Gerda,Hyperion,0,1
Gena,Helios,0.03,0.61
Gena,Clymene,0.03,0.69
Gena,Lelantos,0.03,0.61
Gena,Leto,0.03,0.61
Gena,Menoetius,0.03,0.61
Gena,Metis,0.03,0.61
Gena,Ophion,0.03,0.58
Gena,Pallas,0.03,0.81
Gena,Perses,0.03,0.73
Gena,Menoetius,0.03,0.61
Gena,Prometheus,0.03,0.61
Gena,Selene,0.03,0.74
Gena,Perses,0.03,0.34
Gena,Styx,0.03,0.34
Gena,Hyperion,0.03,0.61
Gena,Iapetus,0.03,0.54
Gena,Coeus,0.03,0.61
Gena,Crius,0.03,0.71
Gena,Crius,0.03,0.73
Gena,Cronus,0.03,0.38
Gena,Cronus,0.03,0.38
Gena,Mnemosyne,0.03,0.41
Gena,Oceanus,0.03,0.61
Gena,Oceanus,0.03,0.61
Gena,Oceanus,0.03,0.61
Gena,Oceanus,0.03,0.61
Gena,Oceanus,0.03,0.61
Gena,Oceanus,0.03,0.61
Gena,Oceanus,0.03,0.61
Gena,Oceanus,0.03,0.61
Gena,Oceanus,0.03,0.61
Gena,Oceanus,0.03,0.61
Gena,Oceanus,0.03,0.61
Gena,Phoebe,0.03,0.49
Gena,Phoebe,0.03,0.6
Gena,Phoebe,0.03,0.65
Gena,Rhea,0.03,0.61
Gena,Tethys,0.03,0.63
Gena,Theia,0.03,0.67
Gena,Theia,0.03,0.42
Gena,Themis,0.03,0.64
Gena,Thetis,0.03,0.61
Gena,Thetis,0.03,0.61
Gena,Arethusa,0.03,0.65
Gena,Galene,0.03,0.18
Gena,Psamathe,0.03,0.09
Gena,Psamathe,0.03,0.09
Gena,Coeus,0.03,0.61
Gena,Karkinos,0.03,0.61
Gena,Karkinos,0.03,0.61
Gena,Karkinos,0.03,0.61
Gena,Ladon,0.03,0.53
Gena,Leucothea,0.03,0.57
Gena,Leucothea,0.03,0.57
Gena,Leucothea,0.03,0.56
Gena,Bythos,0.03,0.54
Gena,Aphros,0.03,0.67
Gena,Aphros,0.03,0.67
Gena,Coeus,0.03,0.61
Gena,Aegaeon,0.03,0.54
Gena,Achelous,0.03,0.41
Gena,Amphitrite,0.03,0.1
Gena,Amphitrite,0.03,0.1
Gena,Benthesikyme,0.03,0.06
Gena,Benthesikyme,0.03,0.06
Gena,Benthesikyme,0.03,0.09
Gena,Benthesikyme,0.03,0.13
Gena,Brizo,0.03,0.61
