Customer Group,Product.Family,Doses,Net Sales,Gross Margin
Gaylene,Soteria,36720,103179.3444,98234.3844
Gaylene,Nikon,336000,294643.9104,270930.9504
Gaylene,Medusa,372000,937330.344,926318.544
Gaylene,Alke,2600000,415085,-129415
Gaylene,Elpis,12168,149160.6024,147786.0024
Gaylene,Hyperion,510000,129389.376,112012.176
Gaylene,Achos,1226400,157653.72,89483.4
Gaylene,Ophion,87135600,952794.996,-28638.204
Gaylene,Hippocampi,28800,12864.2472,12093.8472
Gaylene,Apate,132000,19859.532,15848.292
Gaylene,Epimetheus,7020,29496.6672,28453.0272
Gaylene,Eos,3780,15882.8208,14131.4208
Gaylene,Phrike,2400,355571.6664,166879.3415
Gaylene,Phthonus,94200,388593.486,369883.326
Gaylene,Otos,427320,781298.262,735207.462
Gaylene,Homonoia,1431600,9130640.293,8922485.653
Gaylene,Eros,50760,40786.506,22817.466
Gaylene,Morpheus,168000,76736.52,-3181.08
Gaylene,Aphrodite,147600,34457.484,27931.044
Gaylene,Alfr,8105400,935741.412,416095.212
Gaylene,Crius,2258640,470274.2832,303918.8832
Gaylene,Orion,658560,1594080.943,1566758.623
Gaylene,Theia,2581440,27585691.66,25853624.26
Gaylene,Eidothea,274800,237578.0472,223659.8472
Gaylene,Epiales,1271520,314459.8008,180119.8008
Gaylene,Bia,51600,68921.7588,66150.8388
Gaylene,Anaideia,13701600,406756.7448,222524.5848
Gaylene,Teles,271200,247013.9412,237086.5812
Gaylene,Tritones,356400,168042.7476,141267.5076
Gaylene,Cronus,76800,114866.976,107655.936
Gaylene,Enyo,582000,331132.3968,273638.2368
Gaylene,Kriemhild,18000,78838.962,73263.162
Gaylene,Aglaope,83600,355914.46,345247.1
Gaylene,Hades,972000,22882.7268,14134.7268
Gaylene,Pepromene,1200,33488.82,32063.82
Gaylene,Gunnr,42880800,1041125.342,-1198726.978
Gaylene,Parthenope,4128000,3518756.742,3392210.502
Gaylene,Angelia,174000,424493.5884,404093.2284
Gaylene,Erebos,4170000,2081559.737,1891130.057
Gaylene,Chronos,64800,155896.0344,149914.9944
Gaylene,Caerus,1092000,1517359.932,1246036.332
Gaylene,Hydros,1132800,511700.4864,481228.1664
Gaylene,Argyron,1596000,43728.804,17299.044
Gaylene,Mnemosyne,142800,3843.396,1835.916
Gaylene,Brizo,1498800,2932242.582,2760683.622
Gaylene,Achelous,5022000,1146064.884,691807.764
Gaylene,Molpe,8761800,1081115.123,766192.8234
Gaylene,Prometheus,386400,169204.1736,156583.7736
Gaylene,Coeus,8876400,4506799.915,4200663.115
Gaylene,Dexithea,102240,531353.7768,510919.0968
Gaylene,Tyr,10080,50199.7944,47200.9944
Gaylene,Ocypete,2116800,149210.2584,56572.4184
Gaylene,Polemos,14040,24071.9544,17767.9944
Gaylene,Leucothea,438480,51303.3096,37457.5896
Gaylene,Karkinos,16080,186765.582,165559.782
Gaylene,Ormenos,1040832,5908568.422,5603661.982
Gaylene,Gudrun,38160,104307.4848,98401.4448
Gaylene,Atlas,57840,4269888.773,2769294.985
Gaylene,Agrius,1066800,297548.958,268249.758
Gaylene,Adikia,2236800,313908.1248,177521.2848
Gaylene,Galene,11691480,2575602.14,2134356.98
Gaylene,Steropes,2574000,1993965.401,1547534.761
Gaylene,Theia,87600,233540.8992,205675.3392
Gaylene,Eurynome,24420,1133826.994,1120886.194
Gaylene,Nemesis,494580,4661766.347,4463946.947
Gaylene,Phobetor,78000,21615.0708,13187.3508
Gaylene,Iapetus,3156840,2556562.206,2463599.046
Gaylene,Palioxis,669600,233277.2544,192177.0144
Gaylene,Raidne,598800,107337.522,47419.362
Gaylene,Limos,263880,624950.976,575477.976
Gaylene,Aidos,56520,176351.6328,86020.9397
Gaylene,Pallas,6291600,70677.7608,-66928.8792
Gaylene,Enceladus,697680,292925.6484,176488.6884
Gaylene,Pheme,5366400,1030383.998,651946.4784
Gaylene,Actaeus,595200,50657.472,28819.632
Gaylene,Thalassa,6200400,233283.1848,71013.7848
Gaylene,Menoetius,6652800,1517104.933,1441585.093
Gaylene,Podarge,69600,3254.0088,1764.5688
Gaylene,Sigurd,205800,20483.412,8077.692
Gaylene,Techne,5226480,944215.8768,374529.5568
Gaylene,Ares,2259600,804239.0916,273209.3658
Gaylene,Lachesis,72000,389715.192,372564.792
Gaylene,Celaeno,1092000,1237818.036,1152423.636
Gaylene,Lyssa,299520,79994.6616,65219.9016
Gaylene,Loki,266040,891986.8932,476302.0093
Gaylene,Oceanus,56426400,16732356.57,16109739.81
Gaylene,Homados,84960,304972.8408,96735.8808
Gaylene,Chryson,7894800,1121090.921,878712.8808
Gaylene,Coeus,308400,395365.6728,368267.2728
Gaylene,Asteria,342000,1980678.235,1930754.755
Gaylene,Eurybia,81720,481202.8536,446759.4936
Gaylene,Sif,3768000,59935.3776,17020.4976
Gaylene,Crius,96000,138645.696,134047.296
Gaylene,Themis,45600,72840.0288,69000.2688
Gaylene,Ceto,2188800,2244852.256,2144867.656
Gaylene,Athena,98400,70538.4552,65182.4952
Gaylene,Chalcon,106800,23886.15,17536.11
Gaylene,Ladon,99360,11635.5192,7351.9992
Gaylene,Philotes,1080,3753.4044,3711.2844
Gaylene,Hephaestus,3097200,912755.9388,745675.1388
Gaylene,Thelchtereia,487200,160050.0552,96276.0552
Gaylene,Poine,295200,885220.3812,857269.2612
Gaylene,Poros,73200,625963.566,612908.406
Gaylene,Odin,36000,27070.1616,24346.4016
Gaylene,Delphin,163800,69749.3652,28446.8052
Gaylene,Aisa,477720,74348.7756,31328.0556
Gaylene,Horme,692496,38067.4944,557.2944
Gaylene,Kratos,498960,565012.8,536203.8
Gaylene,Eleos,113400,25152.876,16836.876
Gaylene,Lethe,7948440,2299062.4,1714367.68
Gaylene,Harmonia,1020000,469128.3936,429823.9536
Gaylene,Rhea,1350720,3920847.336,3840593.976
Gaylene,Hyperion,1360800,2044081.805,1994631.125
Gaylene,Astraeus,451920,717001.5552,676632.3552
Gaylene,Mylas,1903200,423288.5892,354342.9492
Gaylene,Gyges,1789920,825475.3056,630929.7456
Gaylene,Leucosia,1113600,807381.0732,666328.1532
Gaylene,Phanes,6094200,2425364.549,2209749.749
Gaylene,Rhea,327600,330747.1776,310484.5776
Gaylene,Phobos,2395080,588639.4116,369804.5316
Gaylene,Megalesius,26028,25259.8848,10366.0848
Gaylene,Cronus,490176,85748.3256,54341.7475
Gaylene,Nike,115200,126697.92,115926.72
Gaylene,Svanhild,178200,87989.814,46284.534
Gaylene,Skuld,1092000,331777.0512,176067.9312
Gaylene,Dione,196800,100509.8976,76305.1776
Gaylene,Apollo,31200,2739.7968,1947.3168
Gaylene,Stheno,981600,754677.9216,719539.5216
Gaylene,Oizys,34800,5720.2944,3830.7744
Gaylene,Arete,20649360,799959.9384,237450.0984
Gaylene,Eirene,193200,120546.6612,98045.3412
Gaylene,Aello,2036400,951855.0396,836473.1196
Gaylene,Gaia,812400,946163.2728,819788.3928
Gaylene,Iapetus,225600,367700.3904,328772.3904
Gaylene,Oceanus,91200,218388.3744,175228.6944
Gaylene,Mnemosyne,39600,36599.8248,32481.4248
Gaylene,Phoebe,39600,123409.44,101728.44
Gaylene,Lycos,79080,335877.698,326916.698
Gaylene,Tethys,436800,731431.476,720780.276
Gaylene,Phorcys,3423600,3473600.278,3018053.758
Gaylene,Idun,1056,557709.6096,518436.9696
Gaylene,Aura,1480320,51219861.5,49783951.1
Gaylene,Eris,22476000,306550.164,-203262.876
Tien,Sophrosyne,9000,6951.6726,6184.8726
Tien,Hippocampi,1200,614.9603,585.6803
Tien,Lupe,21600,15391.7545,14453.5945
Tien,Morpheus,2400,1356.096,214.416
Tien,Aphrodite,2400,1275.2386,1162.6786
Tien,Amechania,14400,811.3291,618.9691
Tien,Anaideia,8400,483.4125,347.3325
Tien,Parthenope,18000,14170.0338,13720.0338
Tien,Chronos,2400,138.8394,105.4794
Tien,Eupraxia,2400,600.4211,483.3011
Tien,Achelous,9600,3728.7085,3026.8285
Tien,Aether,16800,19234.2807,18246.4407
Tien,Bythos,7200,3577.6386,3367.6386
Tien,Nemesis,3120,26740.8568,25453.7368
Tien,Skelmis,1200,286.2761,211.7561
Tien,Hera,1200,442.89,139.605
Tien,Menoetius,66000,28999.6936,28080.4936
Tien,Lelantos,4800,1130.121,1036.161
Tien,Ares,16800,7823.2236,2953.1718
Tien,Celaeno,4800,6988.5216,6613.1616
Tien,Lyssa,1080,1707.048,1660.608
Tien,Oceanus,4800,1850.5744,1791.6544
Tien,Artemis,1200,160.095,90.975
Tien,Ceto,3600,5015.1216,4871.0016
Tien,Clymene,3600,118.3565,78.3965
Tien,Delphin,3240,1701.8478,920.6478
Tien,Eleos,360,99.1548,82.1148
Tien,Lethe,18000,8302.0132,7161.5332
Tien,Harmonia,2400,4746.5817,4643.5017
Tien,Agon,43200,1853.1228,702.2028
Tien,Svanhild,1200,748.7197,467.4397
Tien,Gaia,1200,916.4196,826.7796
Tien,Mania,2400,410.8149,302.5749
Tien,Achlys,15600,4231.3813,3368.3413
Tien,Phorcys,1200,1468.7988,1314.5988
Cortez,Euthenia,38880,16417.4256,11494.7856
Cortez,Phthonus,2520,13439.1768,12926.7768
Cortez,Crius,2160,878.4648,768.6648
Cortez,Orion,38880,122644.08,121087.92
Cortez,Eidothea,19200,20518.4448,19510.0848
Cortez,Epiales,14400,9402.432,7532.832
Cortez,Teles,7200,8111.4624,7848.1824
Cortez,Metis,169200,137024.8728,133760.3928
Cortez,Enyo,6000,3312.2568,2853.2568
Cortez,Kriemhild,1200,6939.288,6645.048
Cortez,Aglaope,21900,120426.5448,117368.9448
Cortez,Parthenope,154800,148509.7032,144377.0232
Cortez,Erebos,145200,121432.2264,110708.3064
Cortez,Chronos,22800,70848.4464,68744.0064
Cortez,Hydros,9600,8111.8848,7853.6448
Cortez,Brizo,14400,33340.2432,31918.7232
Cortez,Bythos,2400,1158.6288,1098.1488
Cortez,Coeus,286800,194957.6472,184878.4872
Cortez,Ocypete,368400,22777.0344,6602.1144
Cortez,Polemos,2160,4783.3632,3813.5232
