Product Family,Therapy.Area,Simplified.Form,Gx.Competitors,Exclusivity,Mylan.MS,Mkt.Size
Achelous,E,OSD,4,Commodity,0.279245343,203119090
Achlys,B,OSD,8,Commodity,0.037777227,197208760
Achos,B,OSD,6,Commodity,0.002299379,1010490440
Actaeus,C,OSD,4,Commodity,0.012190721,364117100
Adephagia,I,OSD,8,Commodity,0.14998956,66235610
Adikia,E,OSD,7,Commodity,0.343674406,68466460
Aegaeon,A,OSD,6,Commodity,0.242340431,9102732
Aello,B,OSD,2,Semi-Exclusive,0.969870088,14693040
Aergia,B,OSD,3,Commodity,0.20820173,27886800
Aether,B,OSD,7,Commodity,0.378325933,308405160
Aglaope,F,Topical,3,Commodity,0.874840781,811774
Agon,K,OSD,4,Commodity,0.26996754,74431726
Agrius,B,OSD,4,Commodity,0.156781317,355789970
Aidos,E,OSD,2,Semi-Exclusive,0.804842115,1880170
Aisa,L,OSD,4,Commodity,0.36267123,10571310
Alala,A,OSD,4,Commodity,0.071334728,1433243
Alastor,G,OSD,9,Commodity,0.009288515,988516465
Alcyoneus,I,OSD,4,Commodity,0.187800605,189226920
Aletheia,G,OSD,8,Commodity,0.01149689,227824230
Alfr,B,OSD,6,Commodity,0.013261047,782415620
Alke,H,OSD,7,Commodity,0.043454057,80118917
Amechania,E,OSD,9,Commodity,0.135039964,2122667515
Amphitrite,K,OSD,5,Commodity,0.028585818,241818510
Anaideia,G,OSD,6,Commodity,0.194778185,670390271
Ananke,E,OSD,4,Commodity,0.196570425,93349750
Angelia,B,OSD,3,Commodity,0.016245656,8137560
Antaeus,J,OSD,5,Commodity,0.008582329,111846100
Anteros,B,OSD,5,Commodity,0.017920577,375405880
Apate,E,OSD,5,Commodity,0.271724962,4050738073
Apheleia,B,OSD,3,Commodity,0.249101141,8769450
Aphrodite,B,OSD,4,Commodity,0.267257716,154134820
Aphros,J,OSD,2,Semi-Exclusive,0.357872699,44020290
Apollo,E,OSD,7,Commodity,0.02150681,692389305
Aporia,B,OSD,5,Commodity,0.029872876,2768617274
Ares,A,OSD,3,Commodity,0.42957922,10829900
Arete,B,OSD,5,Commodity,0.635575486,255860230
Arethusa,B,OSD,4,Commodity,0.487863501,27293290
Arges,E,OSD,3,Commodity,0.328560181,194018520
Argus Panoptes,L,OSD,4,Commodity,0.326888897,256806030
Argyron,L,OSD,2,Semi-Exclusive,0.670321121,203743692
Artemis,E,OSD,3,Commodity,0.488997989,32726290
Asteria,M,OSD,1,Exclusive,1,808100
Astraeus,B,OSD,1,Exclusive,1,2754800
Atabyrius,E,OSD,5,Commodity,0.152042651,59427930
Atë,A,OSD,5,Commodity,0.029730992,6423600
Athena,E,OSD,4,Commodity,0.690501479,13087300
Atlas,K,OSD,1,Exclusive,1,192669
Atropos,B,OSD,4,Commodity,0.301750835,28842008
Aura,H,TDS,1,Exclusive,1,5954076
Baldr,B,OSD,8,Commodity,0.185622658,54069800
Benthesikyme,E,OSD,11,Commodity,0.148339197,417819910
Bia,M,OSD,8,Commodity,0.181838123,380571240
Briareus,B,OSD,3,Commodity,0.075481908,47048360
Brizo,E,OSD,4,Commodity,0.279245343,203119090
Brontes,B,OSD,8,Commodity,0.023142654,407884071
Bythos,E,OSD,7,Commodity,0.303718666,228240730
Caerus,B,OSD,5,Commodity,0.138959588,63100360
Celaeno,M,OSD,2,Semi-Exclusive,0.458611626,25680291
Ceto,E,OSD,3,Commodity,0.876850288,46338720
Chalcon,E,OSD,6,Commodity,0.435529117,96369860
Chaos,M,OSD,6,Commodity,0.152675188,660762440
Charybdis,L,OSD,9,Commodity,0.078515688,1408430445
Chronos,M,OSD,8,Commodity,0.264273738,1117665709
Chryson,L,OSD,2,Semi-Exclusive,0.471787266,73713647
Clotho,B,OSD,6,Commodity,0.004814907,1933474470
Clymene,E,OSD,7,Commodity,0.571924851,2867586318
Coeus,B,OSD,2,Semi-Exclusive,0.959098696,135233830
Corus,B,OSD,5,Commodity,0.076338923,12483540
Cottus,H,OSD,3,Commodity,0.089545163,372499070
Crius,B,OSD,6,Commodity,0.390007992,789083805
Cronus,C,OSD,1,Exclusive,1,504100
Cymopoleia,B,OSD,5,Commodity,8.41E-02,160732250
Damnameneus,E,OSD,7,Commodity,0.076004672,56119050
Damon,B,OSD,4,Commodity,0.595602484,14139800
Deimos,B,OSD,5,Commodity,0.220815892,7780690
Deino,M,OSD,4,Commodity,0.04918743,28328376
Delphin,E,TDS,5,Commodity,0.35405683,30896588
Demeter,A,OSD,5,Commodity,0.141286825,351919580
Dexithea,A,OSD,3,Commodity,0.216117648,5763620
Dikaiosyne,A,OSD,5,Commodity,0.161968706,17201471
Dike,B,OSD,9,Commodity,0.007605777,840263890
Dione,E,OSD,4,Commodity,0.035005801,170348910
Dionysus,C,OSD,4,Commodity,0.02744009,462800230
Dolos,B,OSD,5,Commodity,4.06E-02,4945851
Dysnomia,A,OSD,11,Commodity,0.36705796,360493912
Dyssebeia,B,OSD,4,Commodity,0.009168175,3968838
Eidothea,E,OSD,1,Exclusive,1,3595100
Eirene,J,OSD,6,Commodity,0.005345127,129164380
Ekecheiria,E,OSD,4,Commodity,0.20405004,30109330
Eleos,L,OSD,8,Commodity,0.013122506,3508030411
Elpis,B,OSD,3,Commodity,0.120984528,625518
Enceladus,B,OSD,5,Commodity,0.256126417,10130310
Enyo,L,OSD,2,Semi-Exclusive,0.496621779,26817370
Eos,F,Topical,4,Commodity,0.02240543,164112
Ephialtes,E,OSD,8,Commodity,0.015010149,4423045667
Epiales,B,OSD,4,Commodity,0.283680731,66436800
Epimetheus,F,Topical,3,Commodity,0.007850385,1078291
Epiphron,B,OSD,9,Commodity,0.189498115,96771200
Erebos,B,OSD,2,Semi-Exclusive,0.337109051,122709550
Eris,B,OSD,6,Commodity,1.11E-01,1041923783
Eros,B,OSD,4,Commodity,0.149286343,67002780
Eucleia,C,OSD,4,Commodity,0.069667575,11981040
Eulabeia,E,OSD,5,Commodity,0.141456768,237169282
Eunomia,E,OSD,3,Commodity,0.559062039,94276460
Eupheme,B,OSD,5,Commodity,0.192347166,1230346695
Eupraxia,M,OSD,7,Commodity,0.055571601,500104365
Euryale,K,OSD,3,Commodity,0.17852953,92638120
Eurybia,F,Topical,1,Exclusive,1,12392
Eurynome,M,TDS,6,Commodity,0.339833787,64109267
Eusebeia,E,OSD,6,Commodity,0.179308351,353225880
Euthenia,B,OSD,2,Semi-Exclusive,0.194875758,27535390
Freya,K,OSD,7,Commodity,0.039041853,227433927
Freyr,E,OSD,2,Semi-Exclusive,0.352806742,1680240
Gaia,B,OSD,2,Semi-Exclusive,0.974048959,15764300
Galene,C,OSD,6,Commodity,0.23309598,282531900
Gandalf,E,OSD,8,Commodity,0.002236003,82996310
Gelos,E,OSD,6,Commodity,0.002922446,456316380
Geras,H,OSD,6,Commodity,0.063946678,143305708
Geryon,C,OSD,8,Commodity,0.16689124,46458400
Glaucus,B,OSD,4,Commodity,0.458089931,88572390
Gudrun,H,OSD,1,Exclusive,1,288600
Gunnr,E,OSD,9,Commodity,0.036413721,952579105
Gyges,C,OSD,4,Commodity,0.333685645,45527880
Hades,E,OSD,6,Commodity,0.152711299,946890809
Harmonia,H,OSD,4,Commodity,0.312211192,209947310
Hebe,E,OSD,4,Commodity,0.20405004,30109330
Hedone,B,OSD,5,Commodity,0.016582848,26364590
Hedylogos,B,OSD,8,Commodity,0.045513232,685944260
Heimarmene,B,OSD,6,Commodity,0.108917982,522905485
Hel,C,OSD,4,Commodity,0.009027958,707347120
Helios,K,OSD,4,Commodity,0.301208445,175030816
Hemera,E,OSD,2,Semi-Exclusive,0.530767742,3409740
Hephaestus,E,OSD,7,Commodity,0.242328481,341819210
Hera,B,OSD,3,Commodity,0.294034606,62407280
Hermes,E,OSD,6,Commodity,0.09159758,371658290
Hestia,E,OSD,5,Commodity,0.177935541,63221490
Hildr,G,OSD,3,Commodity,0.832426272,1684560
Himerope,M,Inhalant,3,Commodity,0.278784311,434881
Himeros,B,OSD,5,Commodity,0.16088575,87914349
Hippocampi,E,OSD,6,Commodity,0.302996701,1520728010
Homados,A,OSD,6,Commodity,0.024926539,2395840
Homonoia,L,OSD,2,Semi-Exclusive,0.460591541,41697900
Horkos,A,OSD,4,Commodity,0.434750193,3500700
Horme,H,OSD,5,Commodity,5.90E-06,85450876
Hulda,A,OSD,3,Commodity,0.264434485,1137900
Hybris,H,OSD,7,Commodity,0.030779408,460663448
Hydros,M,OSD,7,Commodity,0.055571601,500104365
Hyperion,E,OSD,2,Semi-Exclusive,0.745123321,10857800
Hypnos,B,OSD,5,Commodity,1.59E-05,368101170
Iapetus,B,OSD,3,Commodity,0.713952284,131237370
Idun,A,Oral (Other),2,Semi-Exclusive,0.657335407,19290
Ioke,H,OSD,6,Commodity,0.013698374,293538196
Kakia,H,OSD,4,Commodity,0.000338204,79644292
Kalokagathia,H,OSD,5,Commodity,0.016214975,79767744
Karkinos,H,TDS,3,Commodity,0.235174288,6894121
Koalemos,H,OSD,4,Commodity,0.001110162,93067464
Kratos,H,OSD,6,Commodity,0.269439809,35165984
Kriemhild,A,OSD,1,Exclusive,1,538350
Kydoimos,B,OSD,7,Commodity,0.04544504,115388170
Lachesis,M,OSD,1,Exclusive,1,1759100
Ladon,B,OSD,6,Commodity,0.159386143,351283675
Lelantos,E,OSD,2,Semi-Exclusive,0.638550799,48931800
Lethe,K,OSD,7,Commodity,0.218552186,188630966
Leto,E,OSD,4,Commodity,0.135296414,492512980
Leucosia,M,OSD,4,Commodity,0.388776081,21831590
Leucothea,B,OSD,8,Commodity,0.096508238,1113106637
Ligeia,E,OSD,2,Semi-Exclusive,0.611042245,12068560
Limos,E,OSD,2,Semi-Exclusive,0.839023915,7496890
Loki,G,Inhalant,6,Commodity,0.07983603,48743581
Lupe,E,OSD,5,Commodity,0.539935497,72722020
Lycos,H,OSD,3,Commodity,0.577719983,67533790
Lysagora,H,OSD,7,Commodity,0.279151684,176090036
Lyssa,L,OSD,8,Commodity,0.149358114,275641000
Makelo,B,OSD,7,Commodity,0.288780254,472516795
Mania,M,OSD,6,Commodity,0.089104015,114066690
Medusa,G,OSD,2,Semi-Exclusive,0.484312937,8426370
Megalesius,B,OSD,6,Commodity,0.216323585,12466551
Menoetius,B,OSD,4,Commodity,0.621107979,147822300
Metis,E,OSD,1,Exclusive,0.99987965,183214950
Mnemosyne,L,OSD,3,Commodity,0.647193946,177281170
Molpe,E,OSD,3,Commodity,0.43614284,148091850
Momus,M,TDS,3,Commodity,0.095011227,134914267
Moros,B,OSD,5,Commodity,0.329615497,25768570
Morpheus,B,OSD,5,Commodity,0.330099235,553212430
Mylas,B,OSD,3,Commodity,0.57667936,22510360
Nemesis,M,TDS,6,Commodity,0.339833787,64109267
Nereus,K,OSD,2,Semi-Exclusive,0.324878552,30346340
Nicothoe,E,OSD,2,Semi-Exclusive,0.431505146,22275980
